                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4751,                  4.405,                 4.1956,                0.00206,                0.28349,                0.00169,                0.00065,                 3.2787,                 4.2475,                 4.1386,              0.0003252,              0.0003252,              0.0003252
                      2,                 3.4891,                 4.2104,                 4.1037,                0.00209,                 0.2753,                0.00538,                0.00166,                 3.2809,                 4.1802,                 4.0542,             0.00064767,             0.00064767,             0.00064767
                      3,                 3.4842,                   3.94,                 3.8957,                0.83996,                0.01782,                0.00704,                0.00165,                 3.3595,                 6.3689,                  4.032,             0.00095914,             0.00095914,             0.00095914
                      4,                 3.3608,                 3.8805,                 3.7241,                0.17175,                0.02342,                0.00297,                  0.001,                  3.232,                 4.2119,                 4.0102,              0.0009505,              0.0009505,              0.0009505
                      5,                 3.2593,                 3.8019,                 3.5708,                0.35268,                0.13132,                0.00987,                0.00256,                 3.1833,                 5.1486,                 3.6531,               0.000934,               0.000934,               0.000934
                      6,                 3.1588,                 3.7263,                 3.4425,                0.20565,                0.01879,                 0.0116,                0.00386,                  3.118,                 3.8375,                 3.8172,              0.0009175,              0.0009175,              0.0009175
                      7,                 3.1059,                 3.7368,                 3.3629,                0.53208,                0.14435,                0.02741,                0.00816,                  3.037,                 3.7925,                 3.3969,               0.000901,               0.000901,               0.000901
                      8,                 2.9415,                 3.6032,                 3.2142,                0.57717,                0.11027,                0.03387,                0.01198,                 2.8739,                 3.4165,                 3.4286,              0.0008845,              0.0008845,              0.0008845
                      9,                 2.8628,                 3.5567,                 3.1399,                 0.3634,                0.09257,                0.02193,                0.00731,                 2.8475,                 3.9203,                 3.3138,               0.000868,               0.000868,               0.000868
                     10,                 2.7776,                 3.4866,                  3.036,                0.55409,                0.14841,                0.05231,                0.01749,                 2.8477,                  3.541,                 3.2182,              0.0008515,              0.0008515,              0.0008515
                     11,                 2.7363,                 3.4475,                 2.9793,                0.41754,                 0.0694,                0.03937,                 0.0129,                 2.7194,                 3.3184,                  3.132,               0.000835,               0.000835,               0.000835
                     12,                 2.6859,                 3.3927,                 2.9263,                0.58406,                0.09217,                0.02993,                0.00951,                  2.785,                 3.7607,                 3.2875,              0.0008185,              0.0008185,              0.0008185
                     13,                 2.5965,                 3.3618,                 2.8725,                0.59167,                0.10643,                0.06578,                 0.0241,                  2.689,                 3.2535,                  3.045,               0.000802,               0.000802,               0.000802
                     14,                 2.5534,                 3.2883,                 2.8194,                0.57594,                0.09564,                0.06906,                0.02307,                 2.6548,                 3.1862,                  3.046,              0.0007855,              0.0007855,              0.0007855
                     15,                 2.4961,                 3.2237,                 2.7815,                 0.5012,                0.14372,                0.09786,                0.03956,                 2.5704,                 3.1894,                 2.9609,               0.000769,               0.000769,               0.000769
                     16,                 2.4373,                 3.1667,                 2.7137,                0.44029,                0.16105,                0.09786,                0.04081,                 2.5754,                 3.3064,                 2.9738,              0.0007525,              0.0007525,              0.0007525
                     17,                 2.4189,                 3.1541,                 2.6956,                 0.4699,                0.12588,                0.09054,                0.03562,                 2.5348,                 3.2202,                 2.9821,               0.000736,               0.000736,               0.000736
                     18,                  2.408,                 3.1358,                 2.6733,                 0.4555,                0.17868,                0.09815,                0.04049,                 2.5241,                 3.1781,                 2.8875,              0.0007195,              0.0007195,              0.0007195
                     19,                 2.3673,                 3.0833,                 2.6481,                0.53186,                0.17568,                0.12459,                0.05428,                 2.4503,                 2.9299,                 2.8619,               0.000703,               0.000703,               0.000703
                     20,                 2.3253,                 3.0283,                 2.6164,                0.50579,                0.18954,                0.12845,                0.05278,                 2.5071,                 2.9113,                  2.924,              0.0006865,              0.0006865,              0.0006865
                     21,                 2.3153,                 3.0105,                 2.5962,                0.37104,                0.19895,                0.15083,                0.06552,                 2.4528,                 2.8418,                 2.8531,                0.00067,                0.00067,                0.00067
                     22,                 2.2961,                 2.9798,                 2.5818,                0.55173,                0.19385,                0.15621,                0.07183,                 2.4164,                 2.8289,                 2.7953,              0.0006535,              0.0006535,              0.0006535
                     23,                 2.2612,                 2.9541,                 2.5342,                0.54339,                0.22707,                0.15394,                0.06467,                 2.4407,                 2.8215,                 2.8331,               0.000637,               0.000637,               0.000637
                     24,                 2.2232,                 2.8718,                 2.5117,                0.53156,                0.21594,                0.15477,                0.06912,                  2.388,                 2.9163,                 2.8041,              0.0006205,              0.0006205,              0.0006205
                     25,                 2.2047,                 2.8837,                 2.5077,                0.51772,                0.25629,                0.16819,                 0.0716,                 2.3871,                 2.8026,                 2.7853,               0.000604,               0.000604,               0.000604
                     26,                 2.2365,                 2.8665,                 2.5253,                0.56558,                0.21839,                0.17164,                0.07766,                 2.3789,                 2.7765,                 2.7703,              0.0005875,              0.0005875,              0.0005875
                     27,                 2.2043,                 2.7886,                 2.4798,                0.54922,                0.25426,                0.19133,                0.09195,                 2.3396,                 2.6883,                 2.7656,               0.000571,               0.000571,               0.000571
                     28,                  2.247,                 2.8235,                 2.5165,                0.48048,                0.25956,                0.15407,                0.06902,                 2.3698,                 3.2003,                  2.776,              0.0005545,              0.0005545,              0.0005545
                     29,                 2.2372,                 2.8314,                 2.5094,                0.55802,                0.23247,                0.18307,                0.08171,                 2.3799,                 2.7285,                 2.7561,               0.000538,               0.000538,               0.000538
                     30,                  2.192,                 2.8528,                 2.4747,                0.55764,                0.25473,                 0.1882,                0.09367,                  2.303,                 2.6995,                 2.7359,              0.0005215,              0.0005215,              0.0005215
                     31,                 2.2075,                 2.8185,                  2.487,                0.57336,                0.27443,                0.22005,                0.10914,                 2.2915,                  2.587,                 2.6859,               0.000505,               0.000505,               0.000505
                     32,                 2.1707,                 2.7424,                 2.4303,                0.62023,                0.25809,                0.20346,                0.09821,                 2.2876,                 2.6379,                  2.683,              0.0004885,              0.0004885,              0.0004885
                     33,                 2.1746,                 2.7438,                 2.4472,                 0.5456,                0.24429,                0.20892,                0.10763,                 2.2674,                 2.6084,                 2.6645,               0.000472,               0.000472,               0.000472
                     34,                 2.1702,                 2.7649,                 2.4468,                0.58802,                0.25861,                0.21475,                0.10799,                 2.2441,                 2.5636,                 2.6528,              0.0004555,              0.0004555,              0.0004555
                     35,                 2.1153,                 2.6745,                 2.4028,                0.46712,                 0.2776,                0.23049,                0.11675,                 2.2416,                 2.5045,                  2.643,               0.000439,               0.000439,               0.000439
                     36,                 2.1279,                 2.6726,                 2.3998,                0.58528,                0.27961,                0.23546,                0.12536,                 2.2362,                 2.5124,                  2.644,              0.0004225,              0.0004225,              0.0004225
                     37,                 2.1153,                 2.6477,                 2.4063,                0.58009,                0.27421,                0.24029,                0.12002,                 2.2149,                 2.5493,                 2.6126,               0.000406,               0.000406,               0.000406
                     38,                 2.1192,                 2.6434,                 2.4012,                0.60095,                0.26249,                0.22974,                 0.1127,                 2.2611,                 2.5123,                 2.6431,              0.0003895,              0.0003895,              0.0003895
                     39,                 2.0848,                 2.6203,                  2.373,                0.61466,                 0.2551,                0.22832,                0.11357,                 2.2322,                 2.5373,                 2.6599,               0.000373,               0.000373,               0.000373
                     40,                 2.0874,                 2.6198,                 2.3838,                0.48321,                0.28352,                0.25637,                 0.1329,                 2.2055,                 2.4348,                 2.6067,              0.0003565,              0.0003565,              0.0003565
                     41,                 2.1045,                 2.5974,                 2.3931,                0.59161,                0.28616,                0.24768,                0.12924,                 2.2238,                 2.5112,                 2.6258,                0.00034,                0.00034,                0.00034
                     42,                   2.08,                 2.6513,                 2.3856,                0.51353,                0.29173,                0.25696,                0.13239,                  2.193,                 2.4355,                 2.5952,              0.0003235,              0.0003235,              0.0003235
                     43,                 2.0584,                 2.5439,                 2.3422,                0.39859,                0.28868,                0.27737,                0.14361,                 2.1903,                 2.4655,                 2.5646,               0.000307,               0.000307,               0.000307
                     44,                 2.0927,                 2.5744,                 2.3519,                0.63808,                0.29716,                0.26574,                0.13622,                 2.1572,                  2.458,                 2.5621,              0.0002905,              0.0002905,              0.0002905
                     45,                 2.0665,                  2.543,                 2.3463,                0.62033,                0.27867,                 0.2597,                0.13772,                 2.1706,                 2.4252,                 2.5838,               0.000274,               0.000274,               0.000274
                     46,                 2.0542,                 2.5604,                  2.335,                0.65036,                0.29547,                0.27617,                0.14111,                 2.1659,                 2.3828,                 2.5578,              0.0002575,              0.0002575,              0.0002575
                     47,                 2.0807,                 2.5582,                 2.3646,                 0.4102,                0.30887,                0.28553,                0.15221,                 2.1356,                 2.3538,                 2.5508,               0.000241,               0.000241,               0.000241
                     48,                 2.0517,                 2.5689,                 2.3473,                 0.4264,                0.31001,                0.27929,                0.14669,                 2.1503,                 2.3612,                 2.5648,              0.0002245,              0.0002245,              0.0002245
                     49,                 2.0529,                 2.5573,                 2.3359,                 0.6473,                 0.2917,                0.29834,                0.15786,                 2.1163,                 2.3215,                 2.5179,               0.000208,               0.000208,               0.000208
                     50,                 1.9637,                 2.4449,                 2.2662,                0.58623,                0.30233,                0.29961,                0.16094,                 2.1314,                  2.311,                 2.5287,              0.0001915,              0.0001915,              0.0001915
                     51,                 2.1452,                 2.7853,                 2.5068,                0.40191,                0.28866,                 0.2734,                0.14725,                 2.1904,                 2.4135,                 2.5867,               0.000175,               0.000175,               0.000175
                     52,                 2.1599,                 2.6601,                 2.5105,                0.49616,                0.32135,                0.30549,                0.16933,                 2.1427,                 2.2823,                  2.514,              0.0001585,              0.0001585,              0.0001585
                     53,                 2.1287,                 2.6561,                 2.4851,                0.45797,                0.31617,                0.29787,                0.16171,                  2.117,                 2.2771,                 2.4984,               0.000142,               0.000142,               0.000142
                     54,                 2.1174,                 2.6648,                 2.4824,                0.47003,                0.32416,                0.31459,                0.17559,                 2.0957,                 2.2546,                 2.4773,              0.0001255,              0.0001255,              0.0001255
                     55,                 2.0789,                 2.6094,                 2.4261,                0.51547,                0.32452,                0.32148,                0.17837,                 2.0774,                 2.2234,                 2.4644,               0.000109,               0.000109,               0.000109
                     56,                 2.0842,                 2.6042,                 2.4393,                0.64698,                0.31613,                0.32284,                 0.1792,                 2.0694,                 2.2279,                 2.4478,               9.25e-05,               9.25e-05,               9.25e-05
                     57,                 2.0613,                 2.5747,                 2.4239,                0.52577,                0.32647,                0.32588,                0.18178,                 2.0604,                 2.2186,                 2.4402,                7.6e-05,                7.6e-05,                7.6e-05
                     58,                 2.0885,                 2.6383,                 2.4522,                0.52093,                0.32203,                 0.3274,                 0.1831,                 2.0527,                 2.2072,                 2.4358,               5.95e-05,               5.95e-05,               5.95e-05
                     59,                 2.0523,                 2.5824,                 2.4324,                0.54202,                0.32354,                0.33178,                0.18995,                 2.0547,                 2.2011,                 2.4282,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                  2.086,                 2.5422,                 2.4379,                0.52959,                0.33384,                0.33103,                0.18804,                 2.0369,                 2.1928,                 2.4201,               2.65e-05,               2.65e-05,               2.65e-05
